Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note	Severity
Number of Results: 34								
  /Users/praneeth/Desktop/code/railway_crossing.c								
    Max Length(200) Exceeded: {'CountLine': 357} lines.	railway_crossing.c	0	0	RECOMMENDED_02	Files too long			
    Fixed Value(4) used incorrectly	threads	44	22	RECOMMENDED_08	Magic Numbers			
    Fixed Value(10) used incorrectly	led1_pin	45	18	RECOMMENDED_08	Magic Numbers			
    Fixed Value(2) used incorrectly	threads	85	28	RECOMMENDED_08	Magic Numbers			
    Fixed Value(3) used incorrectly	threads	86	28	RECOMMENDED_08	Magic Numbers			
    Fixed Value(4) used incorrectly	i	89	24	RECOMMENDED_08	Magic Numbers			
    Fixed Value(50) used incorrectly	path	101	14	RECOMMENDED_08	Magic Numbers			
    Fixed Value(50) used incorrectly	path	120	14	RECOMMENDED_08	Magic Numbers			
    Fixed Value(50) used incorrectly	path	129	14	RECOMMENDED_08	Magic Numbers			
    Fixed Value(3) used incorrectly	value	130	15	RECOMMENDED_08	Magic Numbers			
    Fixed Value(3) used incorrectly	value	133	26	RECOMMENDED_08	Magic Numbers			
    Fixed Value(1500000) used incorrectly	duty_cycle	153	21	RECOMMENDED_08	Magic Numbers			
    Fixed Value(20) used incorrectly	duty_cycle_str	156	24	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	181	26	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	194	27	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	207	27	RECOMMENDED_08	Magic Numbers			
    Duplicate code found in file: /Users/praneeth/Desktop/code/railway_crossing.c line: 250	railway_crossing.c	226	0	RECOMMENDED_20	Duplicate Code			
    Fixed Value(90) used incorrectly	control_servo	230	26	RECOMMENDED_08	Magic Numbers			
    Duplicate code found in file: /Users/praneeth/Desktop/code/railway_crossing.c line: 226	railway_crossing.c	250	0	RECOMMENDED_20	Duplicate Code			
    Fixed Value(90) used incorrectly	control_servo	254	26	RECOMMENDED_08	Magic Numbers			
    Fixed Value(2) used incorrectly	sleep	267	18	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	272	26	RECOMMENDED_08	Magic Numbers			
    Duplicate code found in file: /Users/praneeth/Desktop/code/railway_crossing.c line: 338	railway_crossing.c	276	0	RECOMMENDED_20	Duplicate Code			
    Fixed Value(100000) used incorrectly	usleep	277	15	RECOMMENDED_08	Magic Numbers			
    Fixed Value(250000) used incorrectly	usleep	292	23	RECOMMENDED_08	Magic Numbers			
    Fixed Value(500000) used incorrectly	usleep	299	19	RECOMMENDED_08	Magic Numbers			
    Fixed Value(100000) used incorrectly	usleep	304	19	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	316	27	RECOMMENDED_08	Magic Numbers			
    Fixed Value(90) used incorrectly	control_servo	318	26	RECOMMENDED_08	Magic Numbers			
    Duplicate code found in file: /Users/praneeth/Desktop/code/railway_crossing.c line: 276	railway_crossing.c	320	0	RECOMMENDED_20	Duplicate Code			
    Fixed Value(100000) used incorrectly	usleep	321	15	RECOMMENDED_08	Magic Numbers			
    Fixed Value(100000) used incorrectly	usleep	333	23	RECOMMENDED_08	Magic Numbers			
    Duplicate code found in file: /Users/praneeth/Desktop/code/railway_crossing.c line: 320	railway_crossing.c	338	0	RECOMMENDED_20	Duplicate Code			
    Fixed Value(100000) used incorrectly	usleep	339	15	RECOMMENDED_08	Magic Numbers			

